                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.86757,                 1.0312,                  1.372,                0.87422,                0.77661,                 0.8643,                0.70395,                  0.706,                0.74482,                 1.2288,             0.00060303,             0.00060303,             0.00060303
                     36,                0.87493,                 1.0511,                  1.384,                0.91672,                0.76733,                0.88105,                0.72991,                0.65431,                0.67039,                 1.1848,             0.00059403,             0.00059403,             0.00059403
                     37,                0.85265,                 0.9991,                 1.3701,                0.87045,                0.79249,                0.88591,                0.73001,                0.68646,                0.72164,                 1.2101,             0.00058503,             0.00058503,             0.00058503
                     38,                0.87232,                 1.0457,                  1.382,                0.80407,                0.77353,                0.84106,                0.68592,                0.70598,                0.81356,                 1.2291,             0.00057603,             0.00057603,             0.00057603
                     39,                0.84892,                0.99194,                 1.3451,                0.86962,                0.78726,                0.88877,                0.72886,                0.67007,                 0.6743,                 1.1893,             0.00056703,             0.00056703,             0.00056703
                     40,                0.85093,                0.99235,                 1.3615,                0.88217,                0.79197,                0.88707,                0.73385,                0.67427,                0.67672,                 1.1921,             0.00055804,             0.00055804,             0.00055804
                     41,                0.87024,                0.97619,                 1.3827,                0.90918,                 0.7976,                0.90382,                0.73186,                0.71346,                0.64821,                 1.2281,             0.00054904,             0.00054904,             0.00054904
                     42,                0.87753,                0.98217,                  1.389,                 0.9098,                0.80581,                0.89508,                0.73686,                0.66969,                0.63589,                 1.1888,             0.00054004,             0.00054004,             0.00054004
                     43,                0.85426,                0.94526,                 1.3731,                 0.9132,                0.81801,                0.90434,                0.74437,                0.67318,                0.59571,                 1.1927,             0.00053104,             0.00053104,             0.00053104
                     44,                 0.8726,                0.95552,                 1.3743,                0.93124,                0.78058,                0.89522,                0.72822,                0.69252,                0.67176,                 1.2064,             0.00052204,             0.00052204,             0.00052204
                     45,                0.82726,                0.91513,                 1.3369,                0.93066,                0.81193,                0.90486,                0.74667,                0.66727,                0.60352,                 1.1855,             0.00051304,             0.00051304,             0.00051304
                     46,                 0.8187,                0.89165,                 1.3361,                0.93181,                 0.8208,                0.91092,                  0.749,                0.66397,                0.58005,                 1.1738,             0.00050404,             0.00050404,             0.00050404
                     47,                0.84601,                0.96319,                 1.3732,                0.84393,                0.74698,                0.85468,                0.69646,                0.69882,                0.78742,                 1.2175,             0.00049504,             0.00049504,             0.00049504
                     48,                0.82221,                0.89819,                 1.3297,                0.92511,                0.81002,                0.90175,                0.74622,                0.67174,                0.60537,                 1.1748,             0.00048604,             0.00048604,             0.00048604
                     49,                0.81289,                0.89906,                 1.3354,                0.91713,                0.79128,                0.89307,                0.74128,                0.67166,                0.61633,                  1.176,             0.00047704,             0.00047704,             0.00047704
                     50,                0.81294,                0.86533,                 1.3259,                0.93634,                0.82619,                0.92072,                0.75997,                0.65498,                0.56171,                 1.1669,             0.00046804,             0.00046804,             0.00046804
                     51,                0.80587,                0.86369,                 1.3281,                0.92151,                0.81397,                 0.9148,                0.75574,                0.65611,                0.58944,                 1.1648,             0.00045904,             0.00045904,             0.00045904
                     52,                 0.8114,                0.87789,                 1.3327,                0.94361,                0.83592,                 0.9245,                0.76369,                0.66095,                0.54194,                 1.1697,             0.00045005,             0.00045005,             0.00045005
                     53,                0.82574,                0.84707,                 1.3374,                0.94223,                0.84603,                0.92559,                0.77111,                0.64368,                 0.5329,                 1.1559,             0.00044105,             0.00044105,             0.00044105
                     54,                0.79772,                0.83586,                 1.3186,                0.92904,                0.83836,                0.91923,                0.75288,                0.68133,                0.57407,                 1.1892,             0.00043205,             0.00043205,             0.00043205
                     55,                0.77789,                0.79956,                 1.3026,                0.95238,                0.84332,                0.92365,                0.76478,                0.63966,                0.51975,                 1.1443,             0.00042305,             0.00042305,             0.00042305
                     56,                0.79682,                0.82332,                  1.322,                0.94647,                0.82196,                 0.9218,                0.76151,                 0.6401,                 0.5302,                 1.1535,             0.00041405,             0.00041405,             0.00041405
                     57,                 0.7933,                0.80744,                 1.3087,                 0.9464,                0.83546,                0.92378,                0.77064,                0.63123,                0.52836,                 1.1421,             0.00040505,             0.00040505,             0.00040505
                     58,                0.78102,                0.79883,                 1.3038,                0.94121,                0.84161,                0.92814,                0.78219,                0.60972,                0.49357,                 1.1177,             0.00039605,             0.00039605,             0.00039605
                     59,                0.77247,                0.78973,                 1.2936,                0.93081,                0.85466,                0.93087,                0.78023,                0.61853,                0.49022,                 1.1289,             0.00038705,             0.00038705,             0.00038705
                     60,                0.78161,                0.79535,                 1.2908,                0.91127,                0.83533,                0.92155,                0.76384,                0.63551,                0.55768,                 1.1404,             0.00037805,             0.00037805,             0.00037805
                     61,                0.78256,                0.79363,                 1.3028,                0.92756,                0.84844,                0.92759,                0.77381,                0.62506,                0.52787,                 1.1406,             0.00036905,             0.00036905,             0.00036905
                     62,                0.78043,                0.77862,                 1.3048,                0.92488,                0.84001,                0.91623,                0.77044,                0.62691,                0.52109,                 1.1437,             0.00036005,             0.00036005,             0.00036005
                     63,                0.76526,                0.75623,                 1.2842,                0.94472,                0.85872,                0.92778,                0.77677,                0.61934,                0.48243,                 1.1303,             0.00035106,             0.00035106,             0.00035106
                     64,                0.77089,                0.76904,                 1.2895,                0.95412,                0.86035,                0.93757,                0.78872,                0.61291,                0.48149,                 1.1169,             0.00034206,             0.00034206,             0.00034206
                     65,                0.77656,                0.76693,                 1.2963,                0.96311,                0.83926,                0.93634,                0.78187,                0.63021,                 0.4981,                 1.1373,             0.00033306,             0.00033306,             0.00033306
                     66,                0.78704,                0.78594,                 1.3066,                0.94375,                0.85068,                0.93244,                 0.7755,                0.63955,                0.49386,                 1.1431,             0.00032406,             0.00032406,             0.00032406
                     67,                0.75567,                0.73774,                 1.2814,                0.90921,                0.83644,                 0.9248,                0.77263,                0.62356,                0.53229,                 1.1233,             0.00031506,             0.00031506,             0.00031506
                     68,                0.76344,                0.74067,                 1.2872,                0.95562,                0.85262,                0.93442,                0.78703,                0.60836,                0.47875,                 1.1114,             0.00030606,             0.00030606,             0.00030606
                     69,                0.76016,                0.75105,                  1.288,                0.93693,                0.84832,                0.92794,                0.78233,                0.61155,                0.50613,                 1.1202,             0.00029706,             0.00029706,             0.00029706
